report_date,week_start,week_end,crop,crop_season,activity,state,state_code,is_total,progress_pct,prev_week_pct,prev_year_pct,five_year_avg_pct,source_file
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,Mato Grosso do Sul,MS,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,Minas Gerais,MG,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,Minas Gerais,MG,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,Paraná,PR,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,Piauí,PI,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,Piauí,PI,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,São Paulo,SP,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,Tocantins,TO,False,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,Total,,True,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,corn_2,2021/22,planting,Total,,True,0.01,0.01,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,rice,2021/22,harvest,Goiás,GO,False,0.009899999999999999,0.009899999999999999,0.00975,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,rice,2021/22,harvest,Maranhão,MA,False,0.0053,0.0007000000000000001,0.002,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,rice,2021/22,harvest,Mato Grosso,MT,False,0.009462,0.009245,0.006710000000000001,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,rice,2021/22,harvest,Rio Grande do Sul,RS,False,0.0089,0.0084,0.0095,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
2022-04-30,2022-04-24,2022-04-30,rice,2021/22,harvest,Santa Catarina,SC,False,0.01,0.009899999999999999,0.01,,PlantioZeZcolheitaZ24ZaZ30-04.xlsx
